Institution Name,Mission statement (IC2020mission)
University of South Alabama,The University of South Alabama with a global reach and special focus on the Gulf Coast strives to make a difference in the lives of those it serves through promoting discovery health and learning.
University of South Carolina Aiken,The University of South Carolina Aiken is a comprehensive institution that offers undergraduate and graduate degrees in the arts humanities social sciences natural sciences and professional disciplines. All programs of study are grounded in a strong liberal arts and sciences curriculum.
University of South Carolina Beaufort,TOO MANY REQUEST
University of South Carolina-Columbia,TOO MANY REQUEST
University of South Carolina-Upstate,The University of South Carolina Upstate is a leading regional public university that transforms the lives of our diverse students their families and communities – advancing social and economic mobility throughout the Upstate region. Consistent with the international character of the Upstate the University promotes global perspectives and serves as a driver of economic growth. Our innovative courses and programs are offered in a variety of formats and locations to meet undergraduate and graduate student needs. The University attracts exceptional diverse faculty staff and students who engage in high-impact experiential learning cutting-edge research and deeply-connected community engagement. A University of South Carolina Upstate education empowers students to become lifelong leaders in their professions and communities.
University of South Dakota,USD is the only public liberal arts college in South Dakota as well as home to the states only law and medical schools. These distinctions have helped us become regionally acclaimed and nationally recognized in higher education.
University of South Florida,TOO MANY REQUEST
University of Southern California,The Role and Mission of the University of Southern California
University of Southern Indiana,USI is an engaged learning community advancing education and knowledge  enhancing civic and cultural awareness  and fostering partnerships though comprehensive outreach programs.  We prepare individuals to live wisely in a diverse and global community.
University of Southern Maine,TOO MANY REQUEST
University of Southern Mississippi,The University of Southern Mississippi is a community of engaged citizens operating as a public student-centered doctoral-granting research university serving Mississippi the nation and the world. The University is dedicated to scholarship and learning integrating students at all levels in the creation and application of knowledge through excellence in teaching research creative activities outreach and service. The University nurtures student success by providing distinctive and competitive educational programs embedded in a welcoming environment preparing a diverse student population to embark on meaningful life endeavors.
University of St Francis,As a Catholic university rooted in the liberal arts we are a welcoming community of learners challenged by Franciscan values and charism engaged in a continuous pursuit of knowledge faith wisdom and justice and ever mindful of a tradition that emphasizes reverence for creation compassion and peacemaking. We strive for academic excellence in all programs preparing women and men to contribute to the world through service and leadership.
University of St Thomas,Founded in 1885 the University of St. Thomas is a Catholic university based in the Twin Cities of St. Paul and Minneapolis. Were the largest private university in Minnesota with more than 10000 undergraduate and graduate students and 110000+ alumni. Eight schools and colleges offer 150+ undergraduate majors and minors and 55+ graduate degree programs.
University of St Thomas,We are the University of St. Thomas the Catholic University in the heart of Houston. We are committed to the Catholic intellectual tradition and the dialogue between faith and reason. By pursuing excellence in teaching scholarship and service we embody and instill in our students the core values of our founders the Basilian Fathers: goodness discipline and knowledge. We foster engagement in a diverse collaborative community.
University of the Cumberlands,Clicking the Request Information button below constitutes your expressed written consent to be called and/or texted by University of the Cumberlands at the number(s) you provided regarding furthering your education. You understand that these calls may be generated using an automated technology.
University of the District of Columbia,TOO MANY REQUEST
University of the Incarnate Word,The first Sisters of Charity of the Incarnate Word three young French women motivated by the love of God and their recognition of Gods presence in each person came to San Antonio in 1869 to minister to the sick and the poor. Their spirit of Christian service is perpetuated in the University of the Incarnate Word primarily through teaching and scholarship encompassing research and artistic expression. Inspired by Judeo-Christian values the Catholic Intellectual Tradition and Catholic Social Teaching¹ the University of the Incarnate Word aims to educate men and women who will become concerned and enlightened citizens within the global community.
University of the Ozarks,True to our Christian heritage  we prepare students from diverse religious  cultural  educational and economic backgrounds to live life fully.
University of the Pacific,University of the Pacifics mission is to provide a superior student-centered learning experience integrating liberal arts and professional education and preparing individuals for lasting achievement and responsible leadership in their careers and communities.
University of the Potomac-VA Campus,University of the Potomac provides educational opportunities at the undergraduate and graduate level leading to career enhancement for its multicultural adult learners by offering affordable and accessible education in career-oriented disciplines. The practitioner-led curriculum building on a strong foundation in general education utilizes flexible online and campus-based teaching and learning models that feature small classes emphasizing collaborative learning in the classroom and through technology. Instruction is delivered by professionally and academically qualified faculty committed to student success.
University of the Potomac-Washington DC Campus,University of the Potomac provides educational opportunities at the undergraduate and graduate level leading to career enhancement for its multicultural adult learners by offering affordable and accessible education in career-oriented disciplines. The practitioner-led curriculum building on a strong foundation in general education utilizes flexible online and campus-based teaching and learning models that feature small classes emphasizing collaborative learning in the classroom and through technology. Instruction is delivered by professionally and academically qualified faculty committed to student success.
University of the Sciences,TOO MANY REQUEST
University of the Southwest,University of the Southwest is a Christ-centered educational community dedicated to developing men and women for a lifetime of servant leadership by emphasizing individual faith responsibility and initiative. Teaching at University of the Southwest adheres to belief in God in the Bible as the inspired Word of God in Jesus Christ as the Son of God and in the separation of church and state. University of the Southwest strives for excellence in academic curriculum campus life programming and student activities in a supportive educational community where freedom of thought and expression is honored and the demonstration of faith in acts of service is encouraged; At University of the Southwest students are instructed and mentored by a faculty and staff who demonstrate Christ-centered values and maintain an environment where students can live and work cooperatively valuing the multiple cultures from which they come; and As a community of initiative University of the Southwest challenges graduates to become enterprising members of our society contributing to the common good by advocating and participating in the productive commerce of free enterprise the constitutional privilege of self-government and the practical contributions of community service.
University of the West,TOO MANY REQUEST
University of Toledo,The University of Toledo is a national public research university where students obtain a world-class education and become part of a diverse community of leaders committed to improving the human condition in the region and the world.
University of Tulsa,TOO MANY REQUEST
University of Utah,The University of Utah fosters student success by preparing students from diverse backgrounds for lives of impact as leaders and citizens. We generate and share new knowledge  discoveries  and innovations  and we engage local and global communities to promote education  health  and quality of life. These contributions  in addition to responsible stewardship of our intellectual  physical  and financial resources  ensure the long-term success and viability of the institution.
University of Valley Forge,The mission of the University of Valley Forge is to prepare individuals for a life of service and leadership in the church and in the world.
University of Vermont,To create  evaluate  share  and apply knowledge and to prepare students to be accountable leaders who will bring to their work dedication to the global community  a grasp of complexity  effective problem-solving and communication skills  and an enduring commitment to learning and ethical conduct.
University of Virginia's College at Wise,Broaden your career opportunities gain hands-on experience discover a personalized education and make friends to last a lifetime.
University of Virginia-Main Campus,The Faculty Senate with the concurrence of the President approved revisions to the Universitys mission statement on May 15 2013 to replace the statement that had been in effect since May 31 1985. The Board of Visitors after making additional modifications approved the mission statement on November 15 2013. The State Council of Higher Education for Virginia (SCHEV) approved the mission statement on January 14 2014 to be effective 30 days following adjournment of the 2014 General Assembly.
University of Washington-Bothell Campus,UW Bothell holds the student-faculty relationship to be paramount. We provide access to excellence in higher education through innovative and creative curricula interdisciplinary teaching and research and a dynamic community of multicultural learning.
University of Washington-Seattle Campus,The primary mission of the University of Washington is the preservation advancement and dissemination of knowledge.
University of Washington-Tacoma Campus,TOO MANY REQUEST
University of West Alabama,The University of West Alabama is a state-supported coeducational institution of higher learning governed by a Board of Trustees appointed by the Governor. As a regional institution the Universitys foremost commitment is to meeting the educational needs of the State and particularly of the West Alabama area. Valuing a diverse student enrollment though it also welcomes students from throughout the United States and from other countries. The primary purpose of the University is to provide opportunities for students to pursue a quality education through associate baccalaureate masters and education specialist degrees in liberal arts natural sciences and mathematics pre-professional programs nursing technology business and education. Importance is placed on providing opportunities within the curricula for the development of enhanced skills in critical thinking communication leadership and computer literacy. The University also seeks to provide students opportunities for growth beyond the classroom through a wide range of extracurricular activities programs and services and through the maintenance of an environment of cultural and intellectual diversity. Through the total educational experience that it provides and through its encouragement of the free exchange of ideas among faculty administration and students the University attempts to assist its students in developing the important qualities of independent thinking and respect for the ideas of others and in building firm foundations of personal integrity and character in order to realize their quests for a philosophy of life and for self-fulfillment. At the University of West Alabama the emphasis is upon the traditional learner but the institution is also committed to furthering the concept of lifelong learning and to serving the non-traditional student. It considers among its clientele are high schools businesses and industries governmental agencies and professional workers. In serving these diverse publics the institution employs not only traditional means of delivery but it also seeks to expand its use of innovative technologies including distance learning and to networking with other educational institutions and agencies in order to more comprehensively address the needs of its region. In fulfilling its mission the University seeks to employ a vibrant talented and diverse faculty. In the recruitment and retention of this faculty as with all members of the University community the institution consistent with its academic heritage maintains an openness to all qualified persons. Excellence in teaching and advising is paramount to the faculty but the members are also committed to providing leadership and fostering positive growth throughout West Alabama through research and public service with primary emphasis on that which meets the educational social cultural and economic needs of the region.
University of West Georgia,Take advantage of what the University of West Georgia has to offer. UWG boasts 87 programs of study.
University of Wisconsin-Eau Claire,We foster in one another creativity critical insight empathy and intellectual courage the hallmarks of a transformative liberal education and the foundation for active citizenship and lifelong inquiry.
University of Wisconsin-Green Bay,The mission statement which follows describes the general purposes and character of the University of Wisconsin-Green Bay.
University of Wisconsin-La Crosse,"UW-La Crosses institutional priorities are guided by the UWL Select Mission Vision and Values statements adopted by the UWL Joint Planning & Budget Committee in March 2015. As part of the University of Wisconsin System UWL is also guided by the UW System Mission Statement and the Core Mission of the University Cluster Institutions which applies to all the comprehensive universities in the UW System. At the core of all the mission statements is ""The Wisconsin Idea"" the principle that the knowledge of the university should be extended to the entire state."
University of Wisconsin-Madison,The University of Wisconsin–Madison is the original University of Wisconsin created at the same time Wisconsin achieved statehood in 1848. It received Wisconsins land grant and became the states land-grant university after Congress adopted the Morrill Act in 1862. It continues to be Wisconsins comprehensive teaching and research university with a statewide national and international mission offering programs at the undergraduate graduate and professional levels in a wide range of fields while engaging in extensive scholarly research continuing adult education and public service.
University of Wisconsin-Milwaukee,We will be a top-tier research university that is the best place to learn and work for students faculty and staff and that is a leading driver for sustainable prosperity.
University of Wisconsin-Milwaukee Flex,We will be a top-tier research university that is the best place to learn and work for students faculty and staff and that is a leading driver for sustainable prosperity.
University of Wisconsin-Oshkosh,The mission of the University of Wisconsin System is to develop human resources to discover and disseminate knowledge to extend knowledge and its application beyond the boundaries of its campuses and to serve and stimulate society by developing in students heightened intellectual cultural and humane sensitivities scientific professional and technological expertise and a sense of purpose. Inherent in this broad mission are methods of instruction research extended training and public service designed to educate people and improve the human condition. Basic to every purpose of the UW System is the search for truth.
University of Wisconsin-Parkside,The University of Wisconsin-Parkside is committed to high-quality educational programs creative and scholarly activities and services responsive to its diverse student population and its local national and global communities.
University of Wisconsin-Parkside Flex,The University of Wisconsin-Parkside is committed to high-quality educational programs creative and scholarly activities and services responsive to its diverse student population and its local national and global communities.
University of Wisconsin-Platteville,The College of Liberal Arts and Education will be a regional model for preparing students for lives of leadership and service in a diverse global and complex world.
University of Wisconsin-River Falls,Chancellors OfficeEmail: chancellor@uwrf.eduPhone: 715-425-3201Location: 116 North Hall
University of Wisconsin-Stevens Point,The mission of this system is to develop human resources to discover and disseminate knowledge to extend knowledge and its application beyond the boundaries of its campuses and to serve and stimulate society by developing in students heightened intellectual cultural and humane sensitivities; scientific professional and technological expertise; and a sense of purpose. Inherent in this broad mission are methods of instruction research extended education and public service designed to educate people and improve the human condition. Basic to every purpose of the system is the search for truth.
University of Wisconsin-Stout,The University of Wisconsin – Stout prepares students for careers through applied learning and research professional experiences and collaborative partnerships to benefit a global society. As Wisconsins Polytechnic University we fulfill our mission through a curriculum that combines interdisciplinary knowledge and discipline-specific technical skills with critical thinking creative problem-solving communication and social and ethical reasoning skills to better the human condition. We offer career-focused undergraduate and graduate programs for diverse students in a variety of in-person hybrid and virtual modalities organized around career clusters that include:
University of Wisconsin-Superior,Throughout its history the University of Wisconsin-Superior has committed to improving the lives and livelihoods of people in northwestern Wisconsin and beyond by seeking knowledge and spreading it to all who may benefit.
University of Wisconsin-Whitewater,The University of Wisconsin-Whitewater is a preeminent academic institution driven by the pursuit of knowledge powered by a spirit of innovation and focused on transforming lives. As part of the University of Wisconsin System UW-Whitewater embraces the Wisconsin Idea and is an economic and cultural driver of our region. We are nationally and internationally recognized for the accomplishments of our students faculty staff and alumni. Grounded in a rigorous core curriculum students receive a well-rounded education and every academic program prepares students to be creative innovative and adaptable in dynamic and diverse work and life environments.
University of Wyoming,We honor our heritage as the states flagship and land-grant university by providing accessible and affordable higher education of the highest quality; rigorous scholarship; the communication and application of knowledge; economic and community development; and responsible stewardship of our cultural historical and natural resources.
Upper Iowa University,High school grad transfer student international student working adult or military veteran? No matter your path well help you navigate the UIU admissions and financial aid process.
Urshan College,The mission of Urshan is to prepare Apostolic men and women through higher education for service in the church and to the world.
Ursinus College,The mission of the College is to enable students to become independent responsible and thoughtful individuals through a program of liberal education. That education prepares them to live creatively and usefully and to provide leadership for their society in an interdependent world.
Ursuline College,TOO MANY REQUEST
Uta Mesivta of Kiryas Joel,The mission of the institution is to provide higher education founded on classical Jewish learning. Its curriculum emphasizes the study of Tlamud Halacha and Hashkofa in order to prepare students for a richer more meaningful more intelligent and fulfilling life.
Utah State University,TOO MANY REQUEST
Utica University,Utica Universitys mission rests upon a foundation of values that guide the University communitys decisions and actions.
Valdosta State University,As a comprehensive institution of the University System of Georgia Valdosta State University (VSU) is a welcoming aware and vibrant community founded on and dedicated to serving our communities rich and diverse heritages. Through excellence in teaching basic and applied research and service VSU provides rigorous programs and opportunities that enrich our students our university and our region. As such the VSU mission consists of three interrelated parts:
Valley City State University,Valley City State University is a public  regional university offering exceptional programs in an active  learner-centered community that promotes meaningful scholarship  ethical service  and the skilled use of technology. As an important knowledge resource  the University offers programs and outreach that enrich the quality of life in North Dakota and beyond. Through flexible  accessible  and innovative baccalaureate and master's programs  VCSU prepares students to succeed as educators  leaders  and engaged citizens in an increasingly complex and diverse society.
Valparaiso University,“Valparaiso University a community of learning dedicated to excellence and grounded in the Lutheran tradition of scholarship freedom and faith prepares students to lead and serve in both church and society.“ —Valparaiso University Mission Statement
Vanderbilt University,TOO MANY REQUEST
VanderCook College of Music,TOO MANY REQUEST
Vanguard University of Southern California,The mission of Vanguard University is to pursue knowledge cultivate character deepen faith and equip each student for a Spirit-empowered life of Christ-centered leadership and service.
Vassar College,The mission of Vassar College is to make accessible “the means of a thorough well-proportioned and liberal education”* that inspires each individual to lead a purposeful life. The College makes possible an education that promotes analytical informed and independent thinking and sound judgment; encourages articulate expression; and nurtures intellectual curiosity creativity respectful debate and engaged citizenship. Vassar supports a high standard of engagement in teaching and learning scholarship and artistic endeavor; a broad and deep curriculum; and a residential campus that fosters a learning community.
Veritas Baptist College,TOO MANY REQUEST
Villanova University,Villanova University is a Catholic Augustinian community of higher education committed to excellence and distinction in the discovery dissemination and application of knowledge. Inspired by the life and teaching of Jesus Christ the University is grounded in the wisdom of the Catholic intellectual tradition and advances a deeper understanding of the relationship between faith and reason. Villanova emphasizes and celebrates the liberal arts and sciences as foundational to all academic programs. The University community welcomes and respects members of all faiths who seek to nurture a concern for the common good and who share an enthusiasm for the challenge of responsible and productive citizenship in order to build a just and peaceful world.
Virginia Commonwealth University,Virginia Commonwealth University and its academic health sciences center serve as one national urban public research institution dedicated to the success and well-being of our students patients faculty staff and community through:
Virginia Military Institute,Virginia Military Institute believes that the measure of a college lies in the quality and performance of its graduates and their contributions to society.
Virginia Polytechnic Institute and State University,TOO MANY REQUEST
Virginia State University,Virginia State University a public comprehensive 1890 Land Grant institution and historically black college/university is committed to the preparation of a diverse population of men and women through the advancement of academic programs and services that integrate instruction research extension and outreach. The University endeavors to meet the educational needs of students graduating lifelong learners who are well equipped to serve their communities as informed citizens globally competitive leaders and highly effective ethical professionals.
Virginia Union University,TOO MANY REQUEST
Virginia University of Lynchburg,Virginia University of Lynchburg seeks to recognize the possibilities in every human being and maximize the gifts of the individual within the context of a thoroughly Christian and nurturing environment which offers students opportunities to develop into able leaders and scholars. The Mission is to provide a solid Liberal Arts and Christian Education program for all students. The University continues to embrace our African American heritage along with appreciation for other cultures and ethnic groups in our global community.
Virginia Wesleyan University,An inclusive community dedicated to scholarship and service grounded in the liberal arts and sciences Virginia Wesleyan University inspires students to build meaningful lives through engagement in Coastal Virginias dynamic metropolitan region the nation and the world.
Viterbo University,The Viterbo University community prepares students for faithful service and ethical leadership.
Voorhees College,Voorhees College is a private historically black liberal arts institution affiliated with the Episcopal church  whose mission is to produce highly qualified graduates who coalesce intellect and faith in pursuit of life-long learning  healthy living  the betterment of society  and an abiding faith in God.
Wabash College,The mission of Wabash College is to educate men to think critically act responsibly lead effectively and live humanely.
Wagner College,TOO MANY REQUEST
Wake Forest University,TOO MANY REQUEST
Walden University,TOO MANY REQUEST
Waldorf University,Waldorf University educates the entire person equipping students for lives of fulfillment in communities where they live and serve.
Walla Walla University,info@wallawalla.edu (800) 541-8900 (509) 527-2397 FAX
Walsh University,The Walsh University vision statement was developed as a collective University effort to serve as the Universitys North Star and emphasize our commitment to develop leaders with a moral foundation and an awareness of the common good.
Warner Pacific University,The Counseling Center is committed to promoting the academic mission of Warner Pacific University to prepare students to engage actively in a constantly changing world by providing a variety of psychological supports that will increase retention and graduation by strengthening students ability to tolerate distress form healthy relationships and discover healthy expressions of their ideals and values. The Counseling Center also advances the universitys mission by providing educational programming and consultation to the students faculty and staff.
Warner Pacific University Professional and Graduate Studies,The Counseling Center is committed to promoting the academic mission of Warner Pacific University to prepare students to engage actively in a constantly changing world by providing a variety of psychological supports that will increase retention and graduation by strengthening students ability to tolerate distress form healthy relationships and discover healthy expressions of their ideals and values. The Counseling Center also advances the universitys mission by providing educational programming and consultation to the students faculty and staff.
Warner University,TOO MANY REQUEST
Warren Wilson College,Warren Wilson College’s distinctive approach to education intentionally integrates academics  work  and community engagement to cultivate curiosity  empathy  and integrity. We empower graduates to pursue meaningful careers and lead purposeful lives dedicated to a just  equitable  and sustainable world.
Wartburg College,Our Mission Wartburg College is dedicated to challenging and nurturing students for lives of leadership and service as a spirited expression of their faith and learning.
Washburn University,Approved by the Washburn University Board of Regents 31 October 2013
Washington & Jefferson College,The mission of Washington & Jefferson College is to graduate people of uncommon integrity competence and maturity who are effective lifelong learners and responsible citizens and who are prepared to contribute substantially to the world in which they live.
Washington Adventist University,Statement of Mission    Washington Adventist University is a learning community committed to the Seventh-day Adventist Christian vision of excellence and service.  This cosmopolitan institution challenges students to seize the opportunities for learning in the nation's capital in order to become moral leaders in communities throughout the world.
Washington and Lee University,Washington and Lee University provides a liberal arts education that develops students capacity to think freely critically and humanely and to conduct themselves with honor integrity and civility. Graduates will be prepared for lifelong learning personal achievement responsible leadership service to others and engaged citizenship in a global and diverse society.
Washington College,Washington College challenges and inspires emerging citizen leaders to discover lives of purpose and passion.
Washington State University,Washington State University is a public land-grant research university that is committed to the principles of practical education for all scholarly inquiry that benefits society and the sharing of expertise to positively impact the state and communities.
Washington University in St Louis,The mission of Washington University in St. Louis is to act in service of truth through the formation of leaders the discovery of knowledge and the treatment of patients for the betterment of our region our nation and our world.
Wayland Baptist University,Wayland Baptist University is dedicated to providing an innovative education informed by a Christian worldview. Our commitment to a transformative environment of faith and learning is affirmed in our Universitys Mission and Core Values. These statements of purpose define us and they shape the growth of every Wayland student.
Wayne State College,Wayne State College is a comprehensive institution of higher education dedicated to freedom of inquiry  excellence in teaching and learning  and regional service and development. Offering affordable undergraduate and graduate programs  the College prepares students for careers  advanced study and civic involvement. The College is committed to faculty-staff-student interaction  public service and diversity within a friendly and collegial campus community.
Wayne State University,We create and advance knowledge prepare a diverse student body to thrive and positively impact local and global communities.
Waynesburg University,Waynesburg University is a Christian liberal arts University located in Waynesburg Pennsylvania
Webb Institute,To inspire and educate tomorrows leaders in an extraordinary learning community focused on engineering and design in the marine field.
Webber International University,The University's mission is to offer an array of business  liberal arts and sciences  and pre-professional programs of study that create a life transforming educational opportunity which is practical in its application  global in its scope and multi-disciplinary in its general education core. Students will acquire depth of knowledge and expertise in their chosen field of study  balanced by breadth of knowledge across various disciplines. Special emphasis is placed on enhancing oral and written communication  and critical thinking skills.
Webster University,Webster University  a worldwide institution  ensures high quality learning experiences that transform students for global citizenship and individual excellence.
Welch College,TOO MANY REQUEST
Wellesley College,Wellesleys mission is to provide an excellent liberal arts education to women who will make a difference in the world.
Wells College,TOO MANY REQUEST
Wentworth Institute of Technology,TOO MANY REQUEST
Wesley Biblical Seminary,Wesley Biblical Seminary exists to educate and train men and women who in fulfillment of the Churchs mission will live and proclaim Trinitarian faith promote the Spirit-filled life and in full commitment to the absolute authority of the Bible actively make disciples of Jesus Christ.
Wesley College,TOO MANY REQUEST
Wesleyan College,Wesleyan College is committed to womens education and helping every student find a unique voice and purpose. As the first college in the world chartered to grant degrees to women and shaped by Methodist values Wesleyan provides students an academically challenging and relevant liberal arts education. Our diverse inclusive community encourages creativity innovation and leadership so all graduates are prepared to thrive in a complex world.
Wesleyan University,Wesleyan University is dedicated to providing an education in the liberal arts that is characterized by boldness rigor and practical idealism. At Wesleyan distinguished scholar-teachers work closely with students taking advantage of fluidity among disciplines to explore the world with a variety of tools. The university seeks to build a diverse energetic community of students faculty and staff who think critically and creatively and who value independence of mind and generosity of spirit.
West Chester University of Pennsylvania,Address: Philips Memorial Building West Chester PA 19382
West Coast University-Dallas,Academic Integrity and Intellectual HonestyWe are committed to a culture where ethical conduct governs our interactions.
West Coast University-Los Angeles,Academic Integrity and Intellectual HonestyWe are committed to a culture where ethical conduct governs our interactions.
West Coast University-Miami,Academic Integrity and Intellectual HonestyWe are committed to a culture where ethical conduct governs our interactions.
West Coast University-Ontario,Academic Integrity and Intellectual HonestyWe are committed to a culture where ethical conduct governs our interactions.
West Coast University-Orange County,Academic Integrity and Intellectual HonestyWe are committed to a culture where ethical conduct governs our interactions.
West Liberty University,TOO MANY REQUEST
West Texas A & M University,The mission of West Texas A&M University is to provide intellectually challenging critically reflective regionally-responsive and inclusive academic programs that discover interpret apply and disseminate knowledge for preparing the next generation of global citizens.
West Virginia State University,West Virginia State University is a diverse 1890 land-grant institution that advances knowledge through access and opportunity innovative teaching and learning interdisciplinary research and impactful service. Our learners are equipped to meet the economic and social needs of the state region and nation and contribute solutions to complex global challenges.
West Virginia University,As a land-grant institution the faculty staff and students at West Virginia University commit to creating a diverse and inclusive culture that advances education healthcare and prosperity for all by providing access and opportunity; by advancing high-impact research; and by leading transformation in West Virginia and the world through local state and global engagement.
West Virginia University Institute of Technology,304.929.8324 Mailing Address: 410 Neville Street | Beckley West Virginia 25801 Physical/Official Address: 512 South Kanawha Street | Beckley West Virginia 25801 © 2021 WVU Tech. WVU Tech is a Division of West Virginia University
West Virginia Wesleyan College,The College recognizes and affirms its interdependence with the external communities-local regional national and global-and its covenant with the people of West Virginia to share its educational and cultural resources.
Westcliff University,Westcliff University’s mission is to educate  inspire  and empower students from around the world to acquire the competencies to excel personally and professionally through innovative  practical  high-quality distance and campus programs.
Western Carolina University,As Western North Carolinas regional comprehensive university Western Carolina University is dedicated to academic excellence affordability and access. WCU inspires student learning through innovative teaching nationally recognized programs exceptional support and a robust connectedness with surrounding communities in Southern Appalachia including the Eastern Band of Cherokee Indians. Through a broad range of scholarly activities our faculty and students seek to better understand our region state nation and world. With an emphasis on engaging students both inside and outside the classroom WCUs bachelors masters and professional doctoral programs in Cullowhee Asheville and online aim to improve lives and promote economic prosperity throughout Western North Carolina and beyond.
Western Colorado University,Western Colorado University fulfills its statutory mission by promoting intellectual maturity and personal growth in its students  and graduates citizens prepared to assume constructive roles in local  national and global communities. Western Colorado University helps its students develop the skills and commitments needed to continue learning throughout their lives and strives to elucidate the connections unifying academic domains  which have traditionally existed separately: the sciences  liberal arts and professional programs.    The University provides students with a solid foundation of skills in written and spoken communication  problem solving  critical thinking and creativity. Our programs encourage a breadth and depth of knowledge to serve as a foundation for a professional career or graduate study  and an appreciation of values appropriate to a liberally educated individual.    Western Colorado University's distinctive character emerges from its unity among academic and professional disciplines  its high standards of scholarship and its unique environment in the mountains of Western Colorado.
Western Connecticut State University,TOO MANY REQUEST
Western Governors University,The principal mission of Western Governors University is to improve quality and expand access to post-secondary educational opportunities by providing a means for individuals to learn independent of time or place and to earn competency-based degrees and other credentials that are credible to both academic institutions and employers.
Western Illinois University,Western Illinois University empowers students  faculty  and staff to lead dynamic and diverse communities. We provide student-centered undergraduate and graduate programs characterized by innovative teaching  research  and service  grounded in multidisciplinary  regional and global perspectives. We engage our students in educational opportunities guided by a professional and diverse faculty and staff in collaboration with alumni and community partners.
Western Kentucky University,Western Kentucky University (WKU) prepares students of all backgrounds to be productive  engaged  and socially responsible citizen-leaders of a global society. The University provides research  service and lifelong learning opportunities for its students  faculty  and other constituents. WKU enriches the quality of life for those within its reach.
Western Michigan University,Western Michigan University is a learner-centered research university building intellectual inquiry and discovery into undergraduate graduate and professional programs in a way that fosters knowledge and innovation and transforms wisdom into action. As a public university WMU provides leadership in teaching research learning and service and is committed to enhancing the future of our global citizenry.
Western New England University,Western New England University a comprehensive private institution with a tradition of excellence in teaching and scholarship and a commitment to service awards undergraduate masters and doctoral degrees in various departments from among our Colleges of Arts and Sciences Business Engineering Pharmacy and Health Sciences and School of Law. One of only a few U.S. comprehensive institutions enrolling under 5000 students recognized with national and international accreditations at the highest levels in law business engineering and social work we serve students predominantly from the northeastern U.S. but enroll students from across the country and around the world. The vast majority of undergraduate students reside on campus. Our 215-acre campus in Springfield Massachusetts is remarkable for its beauty security and meticulous upkeep.
Western New Mexico University,TOO MANY REQUEST
Western Oregon University,Western Oregon University creates lasting opportunities for student success through transformative education and personalized support.
Western Washington University,Western Washington University is a public comprehensive institution dedicated to serving the people of the state of Washington. Together our students staff and faculty are committed to making a positive impact in the state and the world with a shared focus on academic excellence and inclusive achievement.
Westfield State University,Westfield is one of a kind combining big school features with small school advantages
Westminster College,instagram facebook twitter youtube-square About Westminster About Campus Calendar Campus Directory Diversity Equity and Inclusion Fast Facts History News Stories and Events Office of the President Westminsters Olympic Legacy Student Involvement Student Life ASW Athletics Bookstore Campus Calendar Campus Dining Career Center Clubs Fitness Wellness and Recreation Residence Life Community Resources Alumni Community Engagement Current Students Donors Employment Faculty and Staff International Students Parents and Families Veteran Students Institutional Information Clery Act College Policies Consumer Information COVID-19 Resources Emergency Management Plan Non-Discrimination Statement Office of Equal Opportunity Privacy Policy Report a Website Issue Title IX
Westmont College,Reflections on the Vision of Westmont College by President Gayle Beebe
Wheaton College,Wheatons mission statement expresses the stable and enduring identity of the College - our reason for existence and our role in society and the church. All the purposes goals and activities of the College are guided by this mission.
Wheaton College (Massachusetts),TOO MANY REQUEST
Wheeling University,Life | The Catholic traditions of educational excellence and service to others guide all of the programs at Wheeling University. By integrating learning research and economic development with classical knowledge and Christian revelation the University seeks to foster competence creativity and innovation throughout and beyond the campus community. Graduates of the University enter the world of work with socially responsible goals a life long appetite for learning and the desire to make our universe a better place.
Whitman College,Situated within the rich and complex landscape and history of the Walla Walla Valley Whitman College provides a rigorous liberal arts education of the highest quality to passionate and engaged students from diverse backgrounds. Whitman students develop their intellectual and creative capacities in a supportive scholarly community that prioritizes student learning within and beyond our classrooms. We help each student translate their deep local regional and global experiences into ethical and meaningful lives of purpose.
Whittier College,Whittier is a place where students become actively involved in the local community as they explore their role in the global community too. Our residential nature is a key component in defining who we are as students and professors live and learn in close proximity to one another fostering an atmosphere where knowledge can be pursued 24/7. This is a community where individuality is valued tolerance is cherished and the things that make each of us unique are seen as invaluable tools in seeking greater knowledge and understanding.
