Institution Name,Mission statement (IC2020mission)
Alice Lloyd College,The mission of Alice Lloyd College is to educate mountain people for positions of leadership and service to the mountains by:    *Making an Alice Lloyd College education available to qualified mountain students regardless of their financial situation.   *Offering a high quality academic program  emphasizing the liberal arts.   *Promoting the work ethic through a self-help  student work program in which all full-time students participate.  *Providing an atmosphere in which Christian values are maintained  encouraging high personal standards and the development of character.   *Serving the community and region through appropriate outreach programs that utilize mountain people helping mountain people.    *Assisting deserving students in obtaining advanced study beyond their program at Alice Lloyd.    *Producing leaders for Appalachia who possess high moral and ethical values  an attitude of self-reliance  a sense of purpose  and a spirit of service to others.
Allegheny College,TOO MANY REQUEST
Allegheny Wesleyan College,to effectively serve God the church and society
Allen College,Allen College offers educational healthcare programs of excellence to a diverse community while instilling the values of service inclusion and lifelong learning.
Allen University,Allen University is an academic community which provides students an opportunity to obtain baccalaureate and graduate degrees in liberal arts and professional programs in traditional and distance education formats. The University has a strong unalterable commitment to teaching in delivery of its baccalaureate and graduate programs.
Alliant International University-San Diego,TOO MANY REQUEST
Alma College,Alma Colleges mission is to prepare graduates who think critically serve generously lead purposefully and live responsibly as stewards of the world they bequeath to future generations.
Alvernia University,TOO MANY REQUEST
Alverno College,Alverno College prepares women for lives of personal and professional distinction and meaningful engagement with the world. Alverno extends this mission by offering graduate and adult programs to women and men. Inspired by its Catholic Franciscan and liberal arts heritage the College intentionally creates an inclusive community that engages students in active and collaborative learning and fosters academic excellence.
America Evangelical University,The mission of America Evangelical University is to prepare students for the ministry of our Lord Jesus Christ by equipping them with knowledge of the Word of God  academic development  and skills to minister effectively and with cultural sensitivity.
American Academy of Art College,To teach students the traditional and contemporary skills that will enable them to pursue careers as professional artists. Academy graduates will have the professional skills and vision the knowledge of other disciplines of human achievement and the commitment to lifelong learning needed to succeed in a global society while contributing to their communities.
American Baptist College,TOO MANY REQUEST
American College of the Building Arts,TOO MANY REQUEST
American InterContinental University,American InterContinental Universitys mission is to provide for the varying educational needs of a career-oriented culturally diverse and geographically dispersed student body with the goal of preparing students academically personally and professionally.
American InterContinental University-Atlanta,American InterContinental Universitys mission is to provide for the varying educational needs of a career-oriented culturally diverse and geographically dispersed student body with the goal of preparing students academically personally and professionally.
American InterContinental University-Houston,American InterContinental Universitys mission is to provide for the varying educational needs of a career-oriented culturally diverse and geographically dispersed student body with the goal of preparing students academically personally and professionally.
American International College,The mission of American International College is to prepare students for personal fulfillment  professional achievement  and civic engagement through educational experiences that transform lives.     Academic programs founded on the knowledge  skills  and values of the liberal arts engage students in theory and emphasize applied learning  while preparing them for the challenges and opportunities presented in the global environment.     Committed to the intrinsic worth of each individual  AIC prepares students for life!
American Public University System,The mission of American Public University System is to provide high quality higher education with emphasis on educating the nation’s military and public service communities by offering respected  relevant  accessible  affordable  and student-focused online programs that prepare students for service and leadership in a diverse  global society.
American University,To advance knowledge foster intellectual curiosity build community and empower lives of purpose service and leadership.
American University of Health Sciences,Home » About AUHS » Mission Philosophy and Goals
Amherst College,TOO MANY REQUEST
Ana G. Mendez University,TOO MANY REQUEST
Anderson University,Anderson University is an academic community affiliated with the South Carolina Baptist Convention. It provides a competitive education in the liberal arts professional and graduate disciplines and a co-curricular focus on the development of character servant leadership and cultural engagement. This is a diverse community that is intentionally Christ-centered people-focused student-oriented quality-driven and future-directed.
Anderson University,TOO MANY REQUEST
Andrews University,Andrews University a distinctive Seventh-day Adventist institution transforms its students by educating them to Seek Knowledge and Affirm Faith in order to Change the World.
Angelo State University,Angelo State University provides highly competitive graduates to the global marketplace by delivering quality programs in a values-focused and student-centered teaching and learning environment.
Anna Maria College,Mission As a Catholic institution inspired by the ideals of the Sisters of St. Anne Anna Maria Colleges mission is to educate our students to become individuals who will transform their world as ethical leaders and community-oriented professionals.
Antioch College,The mission of Antioch College is to provide a rigorous liberal arts education on the belief that scholarship and life experience are strengthened when linked  that diversity in all its manifestations is a fundamental component of excellence in education  and that authentic social and community engagement is vital for those who strive to win victories for humanity.
Appalachian Bible College,Appalachian Bible College exists by Gods grace and for His glory to educate and equip servants for the Church of tomorrow while edifying the Church of today.
Appalachian State University,Excellence in teaching research and service.
Aquinas College,Aquinas College  an inclusive educational community rooted in the Catholic and Dominican tradition  provides a liberal arts education with a global perspective  emphasizes career preparation focused on leadership and service to others  and fosters a commitment to lifelong learning dedicated to the pursuit of truth and the common good.
Arcadia University,TOO MANY REQUEST
Arizona Christian University,Arizona Christian University provides a biblically-integrated  liberal arts education equipping graduates to serve the Lord Jesus Christ in all aspects of life  as leaders of influence and excellence.
Arizona College of Nursing-Dallas,The mission of Arizona College is to prepare students to participate in society and the workforce as productive  responsible and engaged citizens and as educated individuals to meet the community's future healthcare needs. This is accomplished through living our values and focusing on teaching within a highly structured and disciplined educational environment. Our personalized  culturally rich and dynamic learning environment fosters faculty  staff and student engagement. Through didactic and clinical learning  students gain skills  attributes and abilities that foster personal and professional growth  while preparing them as competent employees in their chosen health field.
Arizona College of Nursing-Fort Lauderdale,The mission of Arizona College is to prepare students to participate in society and the workforce as productive  responsible and engaged citizens and as educated individuals to meet the community's future healthcare needs. This is accomplished through living our values and focusing on teaching within a highly structured and disciplined educational environment. Our personalized  culturally rich and dynamic learning environment fosters faculty  staff and student engagement. Through didactic and clinical learning  students gain skills  attributes and abilities that foster personal and professional growth  while preparing them as competent employees in their chosen health field.
Arizona College of Nursing-Las Vegas,The mission of Arizona College is to prepare students to participate in society and the workforce as productive  responsible and engaged citizens and as educated individuals to meet the community's future healthcare needs. This is accomplished through living our values and focusing on teaching within a highly structured and disciplined educational environment.     Our personalized  culturally rich and dynamic learning environment fosters faculty  staff and student engagement.    Through didactic and clinical learning  students gain skills  attributes  and abilities that foster personal and professional growth  while preparing them as competent employees in their chosen health field.
Arizona College of Nursing-Phoenix,The mission of Arizona College is to prepare students to participate in society and the workforce as productive  responsible and engaged citizens and as educated individuals to meet the community's future healthcare needs. This is accomplished through living our values and focusing on teaching within a highly structured and disciplined educational environment. Our personalized  culturally rich and dynamic learning environment fosters faculty  staff and student engagement. Through didactic and clinical learning  students gain skills  attributes and abilities that foster personal and professional growth  while preparing them as competent employees in their chosen health field.
Arizona College of Nursing-Tampa,The mission of Arizona College is to prepare students to participate in society and the workforce as productive  responsible and engaged citizens and as educated individuals to meet the community's future healthcare needs. This is accomplished through living our values and focusing on teaching within a highly structured and disciplined educational environment. Our personalized  culturally rich and dynamic learning environment fosters faculty  staff and student engagement. Through didactic and clinical learning  students gain skills  attributes and abilities that foster personal and professional growth  while preparing them as competent employees in their chosen health field.
Arizona College of Nursing-Tempe,The mission of Arizona College is to prepare students to participate in society and the workforce as productive  responsible and engaged citizens and as educated individuals to meet the healthcare needs.  This is accomplished through our focused mission of teaching within  a highly structured and disciplined educational environment.    Our personalized  culturally rich and dynamic learning environment fosters faculty  staff and student engagement.    Through didactic and clinical learning  students gain skills  attributes and abilities that foster personal and professional growth  while preparing them as competent employees in their chosen health field.
Arizona College of Nursing-Tucson,The mission of Arizona College is to prepare students to participate in society and the workforce as productive  responsible and engaged citizens and as educated individuals to meet the community's future healthcare needs. This is accomplished through living our values and focusing on teaching within a highly structured and disciplined educational environment. Our personalized  culturally rich and dynamic learning environment fosters faculty  staff and student engagement. Through didactic and clinical learning  students gain skills  attributes and abilities that foster personal and professional growth  while preparing them as competent employees in their chosen health field.
Arizona State University Campus Immersion,Maintain the fundamental principle of accessibility to all students qualified to study at a research university.
Arkansas Baptist College,Arkansas Baptist College originally named the Ministers Institute was founded in 1884 by the Colored Baptists of Arkansas during their annual convention at Mount Zion Baptist Church in Little Rock. The primary objective of the institute was to raise the educational level within the Negro Ministry.The secondary objective was to aid the state in making higher education available to young Negro men and women. Most of the Colleges students were trained in the ministry. Today Religious Studies continues to be one of major disciplines of matriculation into the College.
Arkansas State University,Arkansas State educates leaders  enhances intellectual growth  and enriches lives.
Arlington Baptist University,Arlington Baptist University strives to prepare every student for Christian life and service by integrating faith and learning in the context of an informed biblical worldview that affirms the inerrancy of scripture.
Art Academy of Cincinnati,To create and sustain radical  forward-thinking  contemporary visual artists and designers whose creative contributions make a substantial difference in all the lives they touch.
Art Center College of Design,This is our mission statement—and our answer to how art and design impact our global society. Part call-to-action. Part promise. All opportunity.
Asbury University,Asbury University a Christian Liberal Arts University in the Wesleyan-Holiness tradition equips students through academic excellence and spiritual vitality for lifelong learning leadership and service to the professions society the family and the Church preparing them to engage their cultures and advance the cause of Christ around the world.
Ashford University,TOO MANY REQUEST
Ashland University,Ashland University guided by our Christian heritage is a comprehensive private university that provides a transformative learning experience shaping graduates who work serve and lead with integrity in their local national and global communities.
Aspen University,Aspen University has its origins in the International Academy created in the 1960s to improve the way education was disseminated. The International Academy evolved into ISIM University with a primary focus on technology and business education. In the late 1980s operations moved to Colorado and in 1993 the University was successful in acquiring national accreditation with the Distance Education and Training Council now the Distance Education Accrediting Commission (DEAC). In 2003 the University underwent a change in ownership a name change to Aspen University and a successful re-accreditation review.
Assumption University,Assumption University is a comprehensive private Catholic liberal arts institution sponsored by the Augustinians of the Assumption. We awaken in students a sense of wonder discovery and purpose forming graduates known for their intellectual seriousness thoughtful citizenship and devotion to the common good. Our curricular and co-curricular programs provide students with an education that shapes their souls forms them intellectually and prepares them for meaningful careers. We are a diverse community that welcomes different points of view and embraces all who share our mission. Enlivened by the Catholic affirmation of the harmony of faith and reason and by the pursuit of the truth in the company of friends an Assumption education transforms the minds and hearts of students.
ATI College-Whittier,TOO MANY REQUEST
Atlantis University,To prepare career minded professionals through quality education. We empower people with the skills that lead them to success.
Auburn University,As a land-grant institution Auburn University is dedicated to improving the lives of the people of Alabama the nation and the world through forward-thinking education life-enhancing research and scholarship and selfless service.
Auburn University at Montgomery,The mission of Auburn University at Montgomery is to provide quality and diverse educational opportunities at the undergraduate and graduate levels through use of traditional and electronic delivery systems  and to foster and support an environment conducive to teaching  research  scholarship  and collaboration with government agencies  our community  and other educational institutions.
Augsburg University,Augsburg University educates students to be informed citizens thoughtful stewards critical thinkers and responsible leaders. The Augsburg experience is supported by an engaged community that is committed to intentional diversity in its life and work. An Augsburg education is defined by excellence in the liberal arts and professional studies guided by the faith and values of the Lutheran church and shaped by its urban and global settings.
Augusta University,Our mission is to provide leadership and excellence in teaching discovery clinical care and service as a student-centered comprehensive research university and academic health center with a wide range of programs from learning assistance through postdoctoral studies.
Augustana College,Augustana College  rooted in the liberal arts and sciences and a Lutheran expression of the Christian faith  is committed to offering a challenging education that develops qualities of mind  spirit and body necessary for a rewarding life of leadership and service in a diverse and changing world.
Augustana University,Inspired by Lutheran scholarly tradition and the liberal arts Augustana University provides an education of enduring worth that challenges the intellect fosters integrity and integrates faith with learning and service in a diverse world.
Aurora University,Aurora University is an inclusive community dedicated to the transformative power of learning. As a teaching-centered institution we encourage undergraduate and graduate students to discover what it takes to build meaningful and examined lives. Our singular goal is to empower our students to achieve lasting personal and professional success.
Austin College,Austin College is a private residential co-educational college dedicated to educating undergraduate students in the liberal arts and sciences. Also offered are select pre-professional programs and a graduate teacher education program. Founded by the Presbyterian Church in 1849 Austin College continues its relationship with the church. It is committed to a heritage that values personal growth justice community and service. An Austin College education emphasizes academic excellence intellectual and personal integrity and participation in community life. Thus Austin College affirms the importance of:
Austin Peay State University,Austin Peay State University is a mission-driven community-minded institution that provides transformational experiences through innovative creative and scholarly activities. We welcome and inspire an inclusive community of learners to make a positive impact regionally and globally.
Ave Maria University,Founded in fidelity to Christ and His Church in response to the call of Vatican II for greater lay witness in contemporary society  Ave Maria University exists to further teaching  research  and learning at the undergraduate and graduate levels in the abiding tradition of Catholic thought in both national and international settings. The University takes as its mission the sponsorship of a liberal arts education curriculum dedicated  as articulated in the apostolic constitution Ex Corde Ecclesiae  to the advancement of human culture  the promotion of dialogue between faith and reason  the formation of men and women in the intellectual and moral virtues of the Catholic faith  and to the development of professional and pre-professional programs in response to local and societal needs. As an institution committed to Catholic principles  the University recognizes the importance of creating and maintaining an environment in which faith informs the life of the community and takes expression in all its programs. The University recognizes the central and indispensable role of the Ordinary of the Diocese of Venice in promoting and assisting in the preservation and strengthening of the University’s Catholic identity.
Averett University,TOO MANY REQUEST
Avila University,Avila University a Catholic University founded and inspired by the Sisters of St. Joseph of Carondelet provides undergraduate and graduate education in the liberal arts and professional studies preparing lifelong learners who make meaningful contributions to the global community.
Azusa Pacific University,Today at Azusa Pacific University we work together as a team of difference makers to advance the work of God in the world through scholarship teaching and building disciples across all levels and delivery systems of collegiate education. When Azusa Pacific was founded in 1899 in a simple home in Whittier California as the Training School for Christian Workers that modest beginning came with the bold resolve of homeowner Philena B. Hadley and others to forge an educational enterprise that would impact the world for Christ. This foundational understanding of our common purpose finds expression in the Mission Statement as established in 1990 under the leadership of Interim President Ted Engstrom and President Richard Felix who had just begun his tenure.
Babson College,Babson College prepares and empowers entrepreneurial leaders who create grow and steward sustainable economic and social value—everywhere.
Bacone College,As a historic American Indian-serving institution Bacone College provides a quality holistic liberal arts educational experience for students in a culturally diverse environment empowering life-long learners with the knowledge skills and capacity to be transformational leaders in both Native and non-native communities.
Bais Binyomin Academy,Bais Binyomin Academy seeks to train students in the skills required for understanding  studying and mastering the Talmud and the considerable body of traditional Jewish thought. At the same time we are committed to the understanding that knowledge is a means to a larger end. We seek therefore to help students build a world outlook drawn from the ethical and moral concepts of Judaism.
Bais HaMedrash and Mesivta of Baltimore,Bais HaMedrash and Mesivta of Baltimore seeks to train students in the skills required for understanding  studying and mastering the Talmud and the considerable body of traditional Jewish thought. At the same time we are committed to the understanding that knowledge is a means to a larger end. We seek therefore to help students build a world outlook drawn from the ethical and moral concepts of Judaism. If scholarship is to have a significant value it must orient its students to a way of life that  by its own definition  is good and moral.
Bais Medrash Elyon,BAIS MEDRASH ELYON seeks to train students in the skills required for understanding  studying and mastering the Talmud and the considerable body of traditional Jewish thought. At the same time we are committed to the understanding that knowledge is a means to a larger end. We seek therefore to help students build a world outlook drawn from the ethical and moral concepts of Judaism. If scholarship is to have a significant value it must orient its students to a way of life that  by its own definition  is good and moral.
Bais Medrash Toras Chesed,The mission of Bais Medrash Toras Chesed is to promote and encourage the study of ethical works and teachings; to stimulate and foster the education and development of young people; to establish programs to further these principles and ideals; to organize and conduct philosophical discussions among members of this corporation and with other individuals and groups; to increase  foster and advance the understanding of historical principles  ideals and traditions and to create and establish programs to further such principles  ideals and traditions; to endeavor to inculcate and maintain high moral and ethical standards in men and women; to engage in charitable activities and service to benefit the community; to aid  assist and support charitable organizations in furtherance of ethical principles and ideals; to act in concert with other organizations  agencies and institutions to accomplish the purposes of the corporation; to receive  establish and maintain a fund or funds or real or personal property  or both  and subject to lawful restrictions and limitations  to use and apply the whole or any part of the income therefrom and principal thereof exclusively for educational purposes and generally to further and advance historical ethical principles  ideals and traditions. With these objectives in mind  Bais Medrash Toras Chesed will prepare its students to enter graduate and professional programs  as well as to pursue continued further studies in their personal lives.
Baker College,Our mission is our reason for being and what we work to accomplish every day as an institution.
Baker University,Baker University is committed to assuring student learning and developing confident  competent and responsible contributors to society.
Baldwin Wallace University,Baldwin Wallace University is an academic community committed to the liberal arts and sciences as the foundation for lifelong learning. The University fulfills this mission through a rigorous academic program that is characterized by excellence in teaching and learning within a challenging  supportive environment that enhances students' intellectual and spiritual growth. Baldwin Wallace assists students in their preparation to become contributing  compassionate citizens of an increasingly global society and encourages their pursuit of personal and professional excellence.
Ball State University,TOO MANY REQUEST
Baptist Bible College,Baptist Bible College is an institution of biblical higher education that exists to provide a Christ-centered curriculum that fosters a biblical worldview  empowering students to engage and impact their global society.
Baptist Health Sciences University,TOO MANY REQUEST
Baptist Missionary Association Theological Seminary,The purpose of the Seminary's divisions of undergraduate and graduate studies is to provide accredited undergraduate and graduate theological education for equipping individuals for Christ-centered service and leadership; to support the educational needs of the churches and agencies of the Baptist Missionary Association of America and other groups who share a like commitment to the authority of Scripture; and to serve as a resource center for critical thought and research in a context which nurtures the historical  doctrinal character of the churches of the Baptist Missionary Association of America.
Baptist University of the Americas,TOO MANY REQUEST
Barclay College,Barclay College prepares students in a Bible-centered environment for effective Christian life  service  and leadership.
Bard College,Bard College seeks to inspire curiosity a love of learning idealism and a commitment to the link between higher education and civic participation. The undergraduate curriculum is designed to address central enduring questions facing succeeding generations of students. Academic disciplines are interconnected through multidisciplinary programs; a balance in the curriculum is sought between general education and individual specialization. Students pursue a rigorous course of study reflecting diverse traditions of scholarship research speculation and artistic expression. They engage philosophies of human existence theories of human behavior and society the making of art and the study of the humanities science nature and history. Bards approach to learning focuses on the individual primarily through small group seminars. These are structured to encourage thoughtful critical discourse in an inclusive environment. Faculty are active in their fields and stress the connection between the contemplative life of the mind and active engagement outside the classroom. They strive to foster rigorous and free inquiry intellectual ambition and creativity. Bard acts at the intersection of education and civil society extending liberal arts and sciences education to communities in which it has been underdeveloped inaccessible or absent. Through its undergraduate college distinctive graduate programs commitment to the fine and performing arts civic and public engagement programs and network of international dual-degree partnerships early colleges and prison education initiatives Bard offers unique opportunities for students and faculty to study experience and realize the principle that higher-education institutions can and should operate in the public interest.
Barnard College,One of the most selective academic institutions in the nation Barnard is devoted to empowering young women to pursue their passions.
Barry University,A Catholic institution of higher education Barry University was founded in 1940 by the Adrian Dominican Sisters. Grounded in the liberal arts tradition we are a scholarly community committed to the highest academic standards in undergraduate graduate and professional education.
Barton College,Barton College is committed to providing programs and opportunities to encourage the intellectual spiritual social and cultural development of its students and to challenge them for future leadership and service to their local and global communities.
Bates College,Since 1855 Bates College has been dedicated to the emancipating potential of the liberal arts. Bates educates the whole person through creative and rigorous scholarship in a collaborative residential community. With ardor and devotion — Amore ac Studio — we engage the transformative power of our differences cultivating intellectual discovery and informed civic action. Preparing leaders sustained by a love of learning and a commitment to responsible stewardship of the wider world Bates is a college for coming times.
Bay Path University,A Bay Path University education empowers undergraduate women and graduate women and men to become leaders in their careers and communities with an innovative approach to learning that prepares students to flourish in a constantly changing world.
Baylor University,Chartered in 1845 by the Republic of Texas and affiliated with the Baptist General Convention of Texas Baylor is both the states oldest institution of higher learning and the worlds largest Baptist university. Established to be a servant of the church and of society Baylor seeks to fulfill its calling through excellence in teaching and research in scholarship and publication and in service to the community both local and global. The vision of its founders and the ongoing commitment of generations of students and scholars are reflected in the motto inscribed on the Baylor seal: Pro Ecclesia Pro Texana — For Church For Texas.
Be'er Yaakov Talmudic Seminary,Be'er Yaakov Talmudic Seminary seeks to train students in the skills required for understanding  studying and mastering the Talmud and the considerable body of traditional Jewish thought. At the same time we are committed to the understanding that knowledge is a means to a larger end. We seek therefore to help students build a world outlook drawn from the ethical and moral concepts of Judaism. If scholarship is to have a significant value it must orient its students to a way of life that  by its own definition  is good and moral.
Beacon College,TOO MANY REQUEST
Beis Medrash Heichal Dovid,Beis Medrash Heichal Dovid was founded to provide post-high school Jewish Education for men based on the great traditions of Eastern European yeshivos in an inclusive  supportive  welcoming environment. Beis Medrash Heichal Dovid sees the establishment of such an institution in the Far Rockaway area as a vital contribution to the spiritual life of that community  and will  through its policies and programs  endeavor to serve the post-secondary educational needs of Jewish families in Far Rockaway and The Five Towns  as well as of any qualified student who exhibits a sincere desire to devote himself to Torah study.
Belhaven University,Belhaven University prepares students academically and spiritually to serve Christ Jesus in their careers in human relationships and in the world of ideas. Belhaven University affirms the Lordship of Christ over all aspects of life acknowledges the Bible as the foundational authority for the development of a personal worldview and recognizes each individuals career as a calling from God. Each academic department is committed to high academic goals for its students and clarifies the implications of biblical truth for its discipline. Belhaven upholds these commitments in offering undergraduate and graduate programs by conventional or technological delivery modes and in local national and international venues. The University requires a liberal arts foundation in each undergraduate degree program in order to best prepare students to contribute to a diverse complex and fast-changing world. By developing servant leaders who value integrity compassion and justice in all aspects of their lives the University prepares people to serve not to be served.
Bellarmine University,We are an inclusive Catholic university that educates students—mind body and spirit—for meaningful lives rewarding careers ethical leadership and service to improve the human condition.
Bellevue University,Bellevue University effectively engages students in earning awards and degrees that prepare them to thrive in a connected  competitive world. We provide motivated students a powerful foundation for personal value creation  instilling the confidence they need to take control of their lives and be responsible citizens of the global community.  We teach the value of a free market  capitalist economic system and the importance of preserving our American heritage of a democratic and free way of life.
Bellin College,TOO MANY REQUEST
Belmont Abbey College,Our mission is to educate students in the liberal arts and sciences so that in all things God may be glorified. In this endeavor  we are guided by the Catholic intellectual tradition and the Benedictine spirit of prayer and learning. Exemplifying Benedictine hospitality  we welcome a diverse body of students and provide them with an education that will enable them to lead lives of integrity  to succeed professionally  to become responsible citizens  and to be a blessing to themselves and to others.
Belmont University,TOO MANY REQUEST
Beloit College,Beloit College engages the intelligence imagination and curiosity of its students empowering them to lead fulfilling lives marked by high achievement personal responsibility and public contribution in a diverse society. Our emphasis on international and interdisciplinary perspectives the integration of knowledge with experience and close collaboration among peers professors and staff equips our students to approach the complex problems of the world ethically and thoughtfully.
Bemidji State University,We educate people to lead inspired lives.
Benedict College,Benedict College is committed to providing transformative learning experiences characterized by high quality academic co-curricular and extra-curricular programming intentionally designed to develop superior cultural and professional competencies for a diverse student body.
Benedictine College,Benedictine College is an academic community sponsored by the monks of St. Benedicts Abbey and the sisters of Mount St. Scholastica Monastery. Heir to the 1500 years of Benedictine dedication to learning Benedictine College in its own time is ordered to the goal of wisdom lived out in responsible awareness of oneself God and nature family and society. Its mission as a Catholic Benedictine liberal arts residential college is the education of men and women within a community of faith and scholarship.
Benedictine University,Benedictine University is an inclusive academic community dedicated to teaching and learning  scholarship and service  truth and justice  as inspired by the Catholic intellectual tradition  the social teaching of the Church  and the principles of wisdom in the Rule of St. Benedict.
Bennett College,Bennett College prepares women of color through a transformative liberal arts education to lead with purpose integrity and a strong sense of self-worth. Bennett provides educational access to students while promoting inquiry civic engagement social justice lifelong learning and equity for all.
Bennington College,Bennington regards education as a sensual and ethical  no less than an intellectual  process. It seeks to liberate and nurture the individuality  the creative intelligence  and the ethical and aesthetic sensibility of its students  to the end that their richly varied natural endowments will be directed toward self-fulfillment and toward constructive social purposes. We believe that these educational goals are best served by demanding of our students active participation in the planning of their own programs  and in the regulation of their own lives on campus. Student freedom is not the absence of restraint  however; it is rather the fullest possible substitution of habits of self-restraint for restraint imposed by others. The exercise of student freedom is the very condition of a meaningful education  and an essential aspect of the nurture of free citizens  dedicated to civilized values and capable of creative and constructive membership in modern society.
Bentley University,Bentley University changes the world with a transformative business education integrated with arts and sciences that inspires and prepares ethical leaders who will confront the challenges of today and shape the opportunities of tomorrow.
Berea College,TOO MANY REQUEST
Berkeley College-New York,Berkeley College empowers students to achieve lifelong success in dynamic careers.
