Institution Name,Mission statement (IC2020mission)
American InterContinental University,American InterContinental University's mission is to provide for the varying educational needs of a career-oriented culturally diverse and geographically dispersed student body with the goal of preparing students academically personally and professionally.
American InterContinental University-Atlanta,
American InterContinental University-Houston,
American International College,The mission of American International College is to prepare students for personal fulfillment  professional achievement  and civic engagement through educational experiences that transform lives.     Academic programs founded on the knowledge  skills  and values of the liberal arts engage students in theory and emphasize applied learning  while preparing them for the challenges and opportunities presented in the global environment.     Committed to the intrinsic worth of each individual  AIC prepares students for life!
American Public University System,The mission of American Public University System is to provide high quality higher education with emphasis on educating the nation’s military and public service communities by offering respected  relevant  accessible  affordable  and student-focused online programs that prepare students for service and leadership in a diverse  global society.
American University,American University is a leading student-centered research university where passionate learners bold leaders engaged scholars innovators and active citizens unleash the power of collaborative discovery. We partner with key organizations in the Washington DC region and around the globe to better the human condition learn from a vast array of experiences and internships create meaningful change and address society’s current and emerging challenges.
American University of Health Sciences,American University of Health Sciences a private Christian-based minority-serving university of higher education welcomes students of diverse backgrounds and prepares them to make a positive impact on society through the provision of exceptional quality patient-centered care within the context of a global perspective of the human condition.
Amherst College,You may find thesearch engineandsite indexhelpful in locating pages and information on the Amherst College site.
Ana G. Mendez University,
Anderson University,Anderson University is an academic community affiliated with the South Carolina Baptist Convention. It provides a competitive education in the liberal arts professional and graduate disciplines and a co-curricular focus on the development of character servant leadership and cultural engagement. This is a diverse community that is intentionally Christ-centered people-focused student-oriented quality-driven and future-directed.
Anderson University,
Andrews University,Andrews University a distinctive Seventh-day Adventist institution transforms its students by educating them to Seek Knowledge and Affirm Faith in order to Change the World.
Angelo State University,Angelo State University provides highly competitive graduates to the global marketplace by delivering quality programs in a values-focused and student-centered teaching and learning environment.
Anna Maria College,BecomeSomething Greater. Anna Maria College will inspire you to a life of meaning involvement and influence.
Antioch College,The mission of Antioch College is to provide a rigorous liberal arts education on the belief that scholarship and life experience are strengthened when linked  that diversity in all its manifestations is a fundamental component of excellence in education  and that authentic social and community engagement is vital for those who strive to win victories for humanity.
Appalachian Bible College,"Whether you want to build a solid foundation in the one-yearBible'				Certificate programor receive anaccredited Bachelor of'				Arts degreeinBible / Theologywith'			a double major in the ministry of your choiceAppalachian Bible Collegeis one of the best Bible colleges to prepare you for serving the Lord…because Life is for'				Service."
Appalachian State University,Appalachian State University a constituent member of the University of North Carolina System sustained by the generous support of North Carolinians is a long-established public institution that honors our founding commitment to educational access and excellence and our rural mountain heritage through teaching research and service.
Aquinas College,Aquinas College  an inclusive educational community rooted in the Catholic and Dominican tradition  provides a liberal arts education with a global perspective  emphasizes career preparation focused on leadership and service to others  and fosters a commitment to lifelong learning dedicated to the pursuit of truth and the common good.
Arcadia University,Arcadia: An ideal place to be you.Our picturesque campus on the outskirts of Philadelphia is home to aclose-knit community of students from varied backgrounds creating a warm culture thatcelebrates diversity and encourages individuality.
Arizona Christian University,Arizona Christian University provides a biblically-integrated  liberal arts education equipping graduates to serve the Lord Jesus Christ in all aspects of life  as leaders of influence and excellence.
Arizona College of Nursing-Dallas,The mission of Arizona College is to prepare students to participate in society and the workforce as productive  responsible and engaged citizens and as educated individuals to meet the community's future healthcare needs. This is accomplished through living our values and focusing on teaching within a highly structured and disciplined educational environment. Our personalized  culturally rich and dynamic learning environment fosters faculty  staff and student engagement. Through didactic and clinical learning  students gain skills  attributes and abilities that foster personal and professional growth  while preparing them as competent employees in their chosen health field.
Arizona College of Nursing-Fort Lauderdale,The mission of Arizona College is to prepare students to participate in society and the workforce as productive  responsible and engaged citizens and as educated individuals to meet the community's future healthcare needs. This is accomplished through living our values and focusing on teaching within a highly structured and disciplined educational environment. Our personalized  culturally rich and dynamic learning environment fosters faculty  staff and student engagement. Through didactic and clinical learning  students gain skills  attributes and abilities that foster personal and professional growth  while preparing them as competent employees in their chosen health field.
Arizona College of Nursing-Las Vegas,The mission of Arizona College is to prepare students to participate in society and the workforce as productive  responsible and engaged citizens and as educated individuals to meet the community's future healthcare needs. This is accomplished through living our values and focusing on teaching within a highly structured and disciplined educational environment.     Our personalized  culturally rich and dynamic learning environment fosters faculty  staff and student engagement.    Through didactic and clinical learning  students gain skills  attributes  and abilities that foster personal and professional growth  while preparing them as competent employees in their chosen health field.
Arizona College of Nursing-Phoenix,The mission of Arizona College is to prepare students to participate in society and the workforce as productive  responsible and engaged citizens and as educated individuals to meet the community's future healthcare needs. This is accomplished through living our values and focusing on teaching within a highly structured and disciplined educational environment. Our personalized  culturally rich and dynamic learning environment fosters faculty  staff and student engagement. Through didactic and clinical learning  students gain skills  attributes and abilities that foster personal and professional growth  while preparing them as competent employees in their chosen health field.
Arizona College of Nursing-Salt Lake City,nan
Arizona College of Nursing-Tampa,The mission of Arizona College is to prepare students to participate in society and the workforce as productive  responsible and engaged citizens and as educated individuals to meet the community's future healthcare needs. This is accomplished through living our values and focusing on teaching within a highly structured and disciplined educational environment. Our personalized  culturally rich and dynamic learning environment fosters faculty  staff and student engagement. Through didactic and clinical learning  students gain skills  attributes and abilities that foster personal and professional growth  while preparing them as competent employees in their chosen health field.
Arizona College of Nursing-Tempe,The mission of Arizona College is to prepare students to participate in society and the workforce as productive  responsible and engaged citizens and as educated individuals to meet the healthcare needs.  This is accomplished through our focused mission of teaching within  a highly structured and disciplined educational environment.    Our personalized  culturally rich and dynamic learning environment fosters faculty  staff and student engagement.    Through didactic and clinical learning  students gain skills  attributes and abilities that foster personal and professional growth  while preparing them as competent employees in their chosen health field.
Arizona College of Nursing-Tucson,The mission of Arizona College is to prepare students to participate in society and the workforce as productive  responsible and engaged citizens and as educated individuals to meet the community's future healthcare needs. This is accomplished through living our values and focusing on teaching within a highly structured and disciplined educational environment. Our personalized  culturally rich and dynamic learning environment fosters faculty  staff and student engagement. Through didactic and clinical learning  students gain skills  attributes and abilities that foster personal and professional growth  while preparing them as competent employees in their chosen health field.
Arizona State University Campus Immersion,
Arkansas Baptist College,Arkansas Baptist College originally named the Minister’s Institute was founded in 1884 by the Colored Baptists of Arkansas during their annual convention at Mount Zion Baptist Church in Little Rock. The primary objective of the institute was to raise the educational level within the Negro Ministry.The secondary objective was to aid the state in making higher education available to young Negro men and women. Most of the College’s students were trained in the ministry. Today Religious Studies continues to be one of major disciplines of matriculation into the College.
Arkansas State University,Arkansas State educates leaders  enhances intellectual growth  and enriches lives.
Arlington Baptist University,Arlington Baptist University strives to prepare every student for Christian life and service by integrating faith and learning in the context of an informed biblical worldview that affirms the inerrancy of scripture.
Art Academy of Cincinnati,To create and sustain radical  forward-thinking  contemporary visual artists and designers whose creative contributions make a substantial difference in all the lives they touch.
Art Center College of Design,ArtCenter’s visionary approach to art and design education is based on the College’s conservatory-like approach to teaching and learning; a desire for rich intercultural and transdisciplinary dialogue; and a mandate to provide students innovative learning and making spaces.
Asbury University,Asbury University a Christian Liberal Arts University in the Wesleyan-Holiness tradition equips students through academic excellence and spiritual vitality for lifelong learning leadership and service to the professions society the family and the Church preparing them to engage their cultures and advance the cause of Christ around the world.
Ashford University,
Ashland University,Founded in 1878 as Ashland College the name of the institution was changed to Ashland University in 1989 to reflect the many diverse undergraduate graduate and professional programs offered.
Aspen University,Aspen University History
Assumption University,Assumption University is a comprehensive private Catholic liberal arts institution sponsored by the Augustinians of the Assumption. We awaken in students a sense of wonder discovery and purpose forming graduates known for their intellectual seriousness thoughtful citizenship and devotion to the common good. Our curricular and co-curricular programs provide students with an education that shapes their souls forms them intellectually and prepares them for meaningful careers. We are a diverse community that welcomes different points of view and embraces all who share our mission. Enlivened by the Catholic affirmation of the harmony of faith and reason and by the pursuit of the truth in the company of friends an Assumption education transforms the minds and hearts of students.
ATI College-Whittier,
Atlantis University,We are determined to build a community of Atlanteans because we are Atlantis; a place where human values and high-level technology converge at the service of knowledge.
Auburn University,Our vision describes the aspiration for Auburn University 20 years in the future. It is deliberately intended to be lofty — realistic and ever challenging while also bold and ambitious. It is a challenge to ourselves to achieve greatness. Our vision is an invitation to the Auburn Family and those who do not yet know Auburn University to join us in our quest to inspire innovate and transform.
Auburn University at Montgomery,The mission of Auburn University at Montgomery is to provide quality and diverse educational opportunities at the undergraduate and graduate levels through use of traditional and electronic delivery systems  and to foster and support an environment conducive to teaching  research  scholarship  and collaboration with government agencies  our community  and other educational institutions.
Augsburg University,About Augsburg University
Augusta University,This website uses cookies. Contactprivacy@augusta.eduwith any questions.
Augustana College,Augustana College  rooted in the liberal arts and sciences and a Lutheran expression of the Christian faith  is committed to offering a challenging education that develops qualities of mind  spirit and body necessary for a rewarding life of leadership and service in a diverse and changing world.
Augustana University,Inspired by Lutheran scholarly tradition and the liberal arts Augustana University provides an education of enduring worth that challenges the intellect fosters integrity and integrates faith with learning and service in a diverse world.
Aurora University,Aurora University is an inclusive community dedicated to the transformative power of learning. As a teaching-centered institution we encourage undergraduate and graduate students to discover what it takes to build meaningful and examined lives. Our singular goal is to empower our students to achieve lasting personal and professional success.
Austin College,Austin College is a private residential co-educational college dedicated to educating undergraduate students in theliberal arts and sciences. Also offered are selectpre-professional programsand agraduate teacher educationprogram. Founded by the Presbyterian Church in 1849 Austin College continues its relationship with the church. It is committed to a heritage that values personal growth justice community and service. An Austin College education emphasizes academic excellence intellectual and personal integrity and participation in community life. Thus Austin College affirms the importance of:
Austin Peay State University,Austin Peay State University is a mission-driven community-minded institution that'               provides transformational experiences through innovative creative and scholarly'               activities. We welcome and inspire an inclusive community of learners to make a positive'               impact regionally and globally.
Ave Maria University,Founded in fidelity to Christ and His Church in response to the call of Vatican II for greater lay witness in contemporary society  Ave Maria University exists to further teaching  research  and learning at the undergraduate and graduate levels in the abiding tradition of Catholic thought in both national and international settings. The University takes as its mission the sponsorship of a liberal arts education curriculum dedicated  as articulated in the apostolic constitution Ex Corde Ecclesiae  to the advancement of human culture  the promotion of dialogue between faith and reason  the formation of men and women in the intellectual and moral virtues of the Catholic faith  and to the development of professional and pre-professional programs in response to local and societal needs. As an institution committed to Catholic principles  the University recognizes the importance of creating and maintaining an environment in which faith informs the life of the community and takes expression in all its programs. The University recognizes the central and indispensable role of the Ordinary of the Diocese of Venice in promoting and assisting in the preservation and strengthening of the University’s Catholic identity.
Averett University,
Avila University,Avila University a Catholic University founded and inspired by the Sisters of St. Joseph of Carondelet provides undergraduate and graduate education in the liberal arts and professional studies preparing lifelong learners who make meaningful contributions to the global community.
Azusa Pacific University,Today at Azusa Pacific University we work together as a team of difference makers to advance the work of God in the world through scholarship teaching and building disciples across all levels and delivery systems of collegiate education. When Azusa Pacific was founded in 1899 in a simple home in Whittier California as the Training School for Christian Workers that modest beginning came with the bold resolve of homeowner Philena B. Hadley and others to forge an educational enterprise that would impact the world for Christ. This foundational understanding of our common purpose finds expression in the Mission Statement as established in 1990 under the leadership of Interim President Ted Engstrom and President Richard Felix who had just begun his tenure.
Babson College,The Blank School engages Babson community members and leads research to create entrepreneurial leaders.
Bacone College,View the Bacone College Clery Reports (Combined Annual Security and Fire Safety Reports) at www.bacone.edu/clery-report
Bais Binyomin Academy,Bais Binyomin Academy seeks to train students in the skills required for understanding  studying and mastering the Talmud and the considerable body of traditional Jewish thought. At the same time we are committed to the understanding that knowledge is a means to a larger end. We seek therefore to help students build a world outlook drawn from the ethical and moral concepts of Judaism.
Bais HaMedrash and Mesivta of Baltimore,Bais HaMedrash and Mesivta of Baltimore seeks to train students in the skills required for understanding  studying and mastering the Talmud and the considerable body of traditional Jewish thought. At the same time we are committed to the understanding that knowledge is a means to a larger end. We seek therefore to help students build a world outlook drawn from the ethical and moral concepts of Judaism. If scholarship is to have a significant value it must orient its students to a way of life that  by its own definition  is good and moral.
Bais Medrash Elyon,BAIS MEDRASH ELYON seeks to train students in the skills required for understanding  studying and mastering the Talmud and the considerable body of traditional Jewish thought. At the same time we are committed to the understanding that knowledge is a means to a larger end. We seek therefore to help students build a world outlook drawn from the ethical and moral concepts of Judaism. If scholarship is to have a significant value it must orient its students to a way of life that  by its own definition  is good and moral.
Bais Medrash Toras Chesed,The mission of Bais Medrash Toras Chesed is to promote and encourage the study of ethical works and teachings; to stimulate and foster the education and development of young people; to establish programs to further these principles and ideals; to organize and conduct philosophical discussions among members of this corporation and with other individuals and groups; to increase  foster and advance the understanding of historical principles  ideals and traditions and to create and establish programs to further such principles  ideals and traditions; to endeavor to inculcate and maintain high moral and ethical standards in men and women; to engage in charitable activities and service to benefit the community; to aid  assist and support charitable organizations in furtherance of ethical principles and ideals; to act in concert with other organizations  agencies and institutions to accomplish the purposes of the corporation; to receive  establish and maintain a fund or funds or real or personal property  or both  and subject to lawful restrictions and limitations  to use and apply the whole or any part of the income therefrom and principal thereof exclusively for educational purposes and generally to further and advance historical ethical principles  ideals and traditions. With these objectives in mind  Bais Medrash Toras Chesed will prepare its students to enter graduate and professional programs  as well as to pursue continued further studies in their personal lives.
Baker College,Our core values influenceeverything we doat Baker College— supporting our vision and defining our institutional culture.
Baker University,Baker University is committed to assuring student learning and developing confident  competent and responsible contributors to society.
Baldwin Wallace University,Baldwin Wallace University is an academic community committed to the liberal arts and sciences as the foundation for lifelong learning. The University fulfills this mission through a rigorous academic program that is characterized by excellence in teaching and learning within a challenging  supportive environment that enhances students' intellectual and spiritual growth. Baldwin Wallace assists students in their preparation to become contributing  compassionate citizens of an increasingly global society and encourages their pursuit of personal and professional excellence.
Ball State University,
Baptist Bible College,Baptist Bible College is an institution of biblical higher education that exists to provide a Christ-centered curriculum that fosters a biblical worldview  empowering students to engage and impact their global society.
Baptist Health Sciences University,
Baptist Missionary Association Theological Seminary,The purpose of the Seminary's divisions of undergraduate and graduate studies is to provide accredited undergraduate and graduate theological education for equipping individuals for Christ-centered service and leadership; to support the educational needs of the churches and agencies of the Baptist Missionary Association of America and other groups who share a like commitment to the authority of Scripture; and to serve as a resource center for critical thought and research in a context which nurtures the historical  doctrinal character of the churches of the Baptist Missionary Association of America.
Baptist University of the Americas,
Barclay College,Barclay College prepares students in a Bible-centered environment for effective Christian life  service  and leadership.
Bard College,Bard College seeks to inspire curiosity a love of learning idealism and a commitment to the link between higher education and civic participation. The undergraduate curriculum is designed to address central enduring questions facing succeeding generations of students. Academic disciplines are interconnected through multidisciplinary programs; a balance in the curriculum is sought between general education and individual specialization. Students pursue a rigorous course of study reflecting diverse traditions of scholarship research speculation and artistic expression. They engage philosophies of human existence theories of human behavior and society the making of art and the study of the humanities science nature and history.Bard’s approach to learning focuses on the individual primarily through small group seminars. These are structured to encourage thoughtful critical discourse in an inclusive environment. Faculty are active in their fields and stress the connection between the contemplative life of the mind and active engagement outside the classroom. They strive to foster rigorous and free inquiry intellectual ambition and creativity.Bard acts at the intersection of education and civil society extending liberal arts and sciences education to communities in which it has been underdeveloped inaccessible or absent. Through its undergraduate college distinctive graduate programs commitment to the fine and performing arts civic and public engagement programs and network of international dual-degree partnerships early colleges and prison education initiatives Bard offers unique opportunities for students and faculty to study experience and realize the principle that higher-education institutions can and should operate in the public interest.
Barnard College,Discover the bold brilliant voices and achievements of Barnard women – from activism to entrepreneurship making their mark on the world.
Barry University,The path to your perfect career begins with planning and support. Career Development has resources for you to help you make the most of your time at Barry. Guidance is just an appointment away.
Barton College,The College is named for Barton Warren Stone a founder of the Christian Church (Disciples of Christ). In addition to Stone’s early ministry in eastern North Carolina he also had roots in private higher education in this state.
Bates College,Since 1855 Bates College has been dedicated to the emancipating potential of the liberal arts. Bates educates the whole person through creative and rigorous scholarship in a collaborative residential community. With ardor and devotion —Amore ac Studio— we engage the transformative power of our differences cultivating intellectual discovery and informed civic action. Preparing leaders sustained by a love of learning and a commitment to responsible stewardship of the wider world Bates is a college for coming times.
Bay Path University,Interested in hearing more about Bay Path University?Please select a program below:
Baylor University,Chartered in 1845 by the Republic of Texas and affiliated with the Baptist General Convention of Texas Baylor is both the state's oldest institution of higher learning and the world's largest Baptist university. Established to be a servant of the church and of society Baylor seeks to fulfill its calling through excellence in teaching and research in scholarship and publication and in service to the community both local and global. The vision of its founders and the ongoing commitment of generations of students and scholars are reflected in the motto inscribed on the Baylor seal: Pro Ecclesia Pro Texana — For Church For Texas.
Be'er Yaakov Talmudic Seminary,Be'er Yaakov Talmudic Seminary seeks to train students in the skills required for understanding  studying and mastering the Talmud and the considerable body of traditional Jewish thought. At the same time we are committed to the understanding that knowledge is a means to a larger end. We seek therefore to help students build a world outlook drawn from the ethical and moral concepts of Judaism. If scholarship is to have a significant value it must orient its students to a way of life that  by its own definition  is good and moral.
Beacon College,
Beis Medrash Heichal Dovid,Beis Medrash Heichal Dovid was founded to provide post-high school Jewish Education for men based on the great traditions of Eastern European yeshivos in an inclusive  supportive  welcoming environment. Beis Medrash Heichal Dovid sees the establishment of such an institution in the Far Rockaway area as a vital contribution to the spiritual life of that community  and will  through its policies and programs  endeavor to serve the post-secondary educational needs of Jewish families in Far Rockaway and The Five Towns  as well as of any qualified student who exhibits a sincere desire to devote himself to Torah study.
Belhaven University,Belhaven University prepares students academically and spiritually to serve Christ Jesus in their careers in human relationships and in the world of ideas.Belhaven University affirms the Lordship of Christ over all aspects of life acknowledges the Bible as the foundational authority for the development of a personal worldview and recognizes each individual's career as a calling from God. Each academic department is committed to high academic goals for its students and clarifies the implications of biblical truth for its discipline. Belhaven upholds these commitments in offering undergraduate and graduate programs by conventional or technological delivery modes and in local national and international venues. The University requires a liberal arts foundation in each undergraduate degree program in order to best prepare students to contribute to a diverse complex and fast-changing world.By developing servant leaders who value integrity compassion and justice in all aspects of their lives the University prepares people to serve not to be served.
Bellarmine University,Bellarmine University finds its Catholic identity in the inclusive spirit of Thomas Merton. We believe in the search for the true self the interconnectedness of life and the solidarity of the human spirit which transcends ethnic religious and social divisions. We educate the whole person to realize their highest potential as part of an interconnected world. Our values are Academic Excellence Intrinsic Dignity Social Responsibility Integrity Hospitality and Stewardship.
Bellevue University,Bellevue University effectively engages students in earning awards and degrees that prepare them to thrive in a connected  competitive world. We provide motivated students a powerful foundation for personal value creation  instilling the confidence they need to take control of their lives and be responsible citizens of the global community.  We teach the value of a free market  capitalist economic system and the importance of preserving our American heritage of a democratic and free way of life.
Bellin College,
Belmont Abbey College,Our mission is to educate students in the liberal arts and sciences so that in all things God may be glorified. In this endeavor  we are guided by the Catholic intellectual tradition and the Benedictine spirit of prayer and learning. Exemplifying Benedictine hospitality  we welcome a diverse body of students and provide them with an education that will enable them to lead lives of integrity  to succeed professionally  to become responsible citizens  and to be a blessing to themselves and to others.
Belmont University,About Belmont
Beloit College,Beloit College engages the intelligence imagination and curiosity of its students empowering them to lead fulfilling lives marked by high achievement personal responsibility and public contribution in a diverse society. Our emphasis on international and interdisciplinary perspectives the integration of knowledge with experience and close collaboration among peers professors and staff equips our students to approach the complex problems of the world ethically and thoughtfully.
Bemidji State University,Through the sum of their educational experience at Bemidji State students will have multiple opportunities to learn about experience and reflect on the University’s Shared Fundamental Values of:
Benedict College,Benedict College is committed to providing transformative learning experiences characterized by high quality academic co-curricular and extra-curricular programming intentionally designed to develop superior cultural and professional competencies for a diverse student body.
Benedictine College,Benedictine College is an academic community sponsored by the monks of St. Benedict’s Abbey and the sisters of Mount St. Scholastica Monastery. Heir to the 1500 years of Benedictine dedication to learning Benedictine College in its own time is ordered to the goal of wisdom lived out in responsible awareness of oneself God and nature family and society. Its mission as a Catholic Benedictine liberal arts residential college is the education of men and women within a community of faith and scholarship.
Benedictine University,Benedictine University is an inclusive academic community dedicated to teaching and learning  scholarship and service  truth and justice  as inspired by the Catholic intellectual tradition  the social teaching of the Church  and the principles of wisdom in the Rule of St. Benedict.
Bennett College,At Bennett you are not just a student ID number you are a woman we invest in and supportas you navigate higher education and prepare for your career. Here you will be personally welcomed by the College President on your first day be taught by experienced faculty who get to knowyouand your learning style engage with staff who link you to our many resources and bond with other women of color working to become phenomenal scholars and global leaders. Bennett empowers you to lead create your own path gain life experience and become the woman you are meant to be.
Bennington College,Bennington regards education as a sensual and ethical  no less than an intellectual  process. It seeks to liberate and nurture the individuality  the creative intelligence  and the ethical and aesthetic sensibility of its students  to the end that their richly varied natural endowments will be directed toward self-fulfillment and toward constructive social purposes. We believe that these educational goals are best served by demanding of our students active participation in the planning of their own programs  and in the regulation of their own lives on campus. Student freedom is not the absence of restraint  however; it is rather the fullest possible substitution of habits of self-restraint for restraint imposed by others. The exercise of student freedom is the very condition of a meaningful education  and an essential aspect of the nurture of free citizens  dedicated to civilized values and capable of creative and constructive membership in modern society.
Bentley University,Bentley University changes the world with a transformative business education integrated with arts and sciences that inspires and prepares ethical leaders who will confront the challenges of today and shape the opportunities of tomorrow.
Berea College,
Berkeley College-New York,
Berklee College of Music,Berklee's mission is to educate train and develop students to excel in music as a career.
Berry College,From its inception Berry has pursued a bold and distinctive approach to meeting the challenge of preparing students for life. Our entrepreneurial founder Martha Berry understood that intellectual skills and practical skills could be combined to powerful effect in shaping people known for their work ethic integrity resourcefulness and willingness to serve. She believed in the wisdom of helping students to help themselves and she used the intensity of a residential community as a potent context for teaching life lessons.
